px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
93.6119	20.2998	0.904486	-0.508297	-0.0759993	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	5.62421
93.6491	20.315	0.951076	-0.476733	-0.0530098	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.457579
95.0989	19.702	1.44166	-0.394692	0.0294754	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.05331
94.9758	19.6603	1.31474	-0.532005	-0.0611816	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.07476
95.6657	19.5786	0.837308	-0.353927	0.0374608	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	7.76082
95.6645	19.5757	0.851189	-0.352194	0.040798	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0852428
96.3116	19.1888	0.788625	-0.460281	-0.0302012	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.563832
96.3484	19.1969	0.82809	-0.429995	-0.0108336	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.414783
97.4092	18.7524	1.09319	-0.387711	0.0183954	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.59502
97.4066	18.7493	1.08425	-0.397807	0.0111038	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0640842
98.2505	18.3662	0.997617	-0.408966	-0.000320947	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.287085
98.2621	18.3675	0.991926	-0.410593	-0.00505299	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.211208
99.0545	17.4563	1.08612	-0.88039	-0.218333	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.81532
99.0699	17.49	1.12164	-0.78435	-0.140587	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.43046
99.958	16.9383	1.0747	-0.643917	-0.00823559	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.09211
100.038	16.9557	1.11213	-0.579375	0.0259479	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.1306
